Defense: 13																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
																															
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
LCB BB4A:SetPosFromMid(C0 28)	 2pt	 29-JumpTo BE41:2E-JumpTo BE49:JumpTo BDFC:04-m2m-WR2		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDFC:04-m2m-WR2	 LoopBack FE// D8-MoveAbsolute(14 D0)	 29-JumpTo BDF0:01-m2m-HB	 LoopBack FE// 29-JumpTo BE00:05-m2m-TE	 LoopBack FE// JumpTo B010:C8-Move(9A B9 03)	 MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 															
FS B6D7:SetPosFromHike(C8 50)	 2pt	 C8-Move(4B B9 04)		 D8-MoveAbsolute(C8 10)	 F4-Pause(C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
SS B8AF:SetPosFromHike(18 50)	 2pt	 C8-Move(51 B9 05)		 27-JumpTo B686:C8-Move(51 B9 05)	 MoveRelative(00 C8)	 JumpTo B60C:27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 F5-Pause(01 8C)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// JumpTo B046:C8-Move(8E B9 05)	 27-JumpTo B056:D9-MoveAbsolute(C8 F8)	 F4-Pause(6E)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// D8-MoveAbsolute(28 00)	 F5-Pause(3C A0)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 														
																															
																															
Defense: 1B																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB BC93:SetPosFromHike(E0 18)	 2pt	 C8-Move(E6 B9 06)		 JumpTo AFDF:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LILB AFE8:SetPosFromHike(00 18)	 2pt	 C8-Move(82 B9 07)		 MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LOLB BAE5:SetPosFromHike(18 0C)	 2pt	 27-JumpTo BF24:C8-Move(7C B9 0C)		 LoopBack EC	 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// JumpTo BE04:11-m2m-HB	 LoopBack EA	 01-m2m-HB	 LoopBack FE// 																		
RCB B930:SetPosFromMid(36 28)	 2pt	 29-JumpTo BE36:2E-JumpTo BDF8:03-m2m-WR1		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDF8:03-m2m-WR1	 LoopBack FE// 26-JumpTo AFFD:C8-Move(94 B9 02)	 MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(C8 D8)	 JumpTo BDF4:02-m2m-FB	 LoopBack FE// 																
LCB BB4A:SetPosFromMid(C0 28)	 2pt	 29-JumpTo BE41:2E-JumpTo BE49:JumpTo BDFC:04-m2m-WR2		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDFC:04-m2m-WR2	 LoopBack FE// D8-MoveAbsolute(14 D0)	 29-JumpTo BDF0:01-m2m-HB	 LoopBack FE// 29-JumpTo BE00:05-m2m-TE	 LoopBack FE// JumpTo B010:C8-Move(9A B9 03)	 MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 															
FS BA59:SetPosFromHike(C8 50)	 2pt	 27-JumpTo BE0C:13-m2m-WR1		 LoopBack EA	 03-m2m-WR1	 LoopBack FE// D8-MoveAbsolute(C8 E0)	 JumpTo BE08:12-m2m-FB	 LoopBack EA	 02-m2m-FB	 LoopBack FE// 																					
SS B8DF:SetPosFromHike(18 50)	 2pt	 27-JumpTo BE86:2E-JumpTo BE98:JumpTo BE10:14-m2m-WR2		 LoopBack EA	 04-m2m-WR2	 LoopBack FE// D8-MoveAbsolute(18 B8)	 D8-MoveAbsolute(20 C0)	 D8-MoveAbsolute(30 C0)	 D9-MoveAbsolute(C0 B8)	 MoveRelative(00 81)	 JumpTo BE10:14-m2m-WR2	 LoopBack EA	 04-m2m-WR2	 LoopBack FE// JumpTo BE14:15-m2m-TE	 LoopBack EA	 05-m2m-TE	 LoopBack FE// 														
																															
																															
Defense: 1C																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB BB5D:SetPosFromHike(E0 18)	 2pt	 C8-Move(61 B9 06)		 D8-MoveAbsolute(C8 D0)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																									
LILB A4BE:SetPosFromHike(00 18)	 2pt	 F3-Pause(0A)		 D8-MoveAbsolute(F8 D8)	 F4-Pause(14)	 D8-MoveAbsolute(10 F8)	 F4-Pause(28)	 D8-MoveAbsolute(10 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																			
LOLB A4D7:SetPosFromHike(18 0C)	 2pt	 D8-MoveAbsolute(20 F8)		 D8-MoveAbsolute(20 08)	 F4-Pause(8C)	 D8-MoveAbsolute(20 28)	 D8-MoveAbsolute(14 3C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																					
RCB BC9E:SetPosFromMid(36 28)	 2pt	 JumpTo B388:F4-Pause(14)		 D8-MoveAbsolute(B8 F8)	 F5-Pause(64 96)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LCB BCA5:SetPosFromMid(C0 28)	 2pt	 C8-Move(B0 BC 03)		 JumpTo B7EC:F4-Pause(14)	 D8-MoveAbsolute(28 F8)	 2B-JumpTo B60C:27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 F5-Pause(01 8C)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// F5-Pause(64 C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																		
FS BCB6:SetPosFromHike(C8 50)	 2pt	 C8-Move(C1 BC 04)		 JumpTo B39B:F4-Pause(14)	 D8-MoveAbsolute(C8 F0)	 F5-Pause(64 96)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
SS BCC7:SetPosFromHike(18 50)	 2pt	 JumpTo B802:27-JumpTo B810:D8-MoveAbsolute(E8 98)		 JumpTo B60C:27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 F5-Pause(01 8C)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// F4-Pause(14)	 D8-MoveAbsolute(D8 E8)	 F5-Pause(64 96)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																		
																															
																															
Defense: 1D																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB BB5D:SetPosFromHike(E0 18)	 2pt	 C8-Move(61 B9 06)		 D8-MoveAbsolute(C8 D0)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																									
LILB A4BE:SetPosFromHike(00 18)	 2pt	 F3-Pause(0A)		 D8-MoveAbsolute(F8 D8)	 F4-Pause(14)	 D8-MoveAbsolute(10 F8)	 F4-Pause(28)	 D8-MoveAbsolute(10 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																			
LOLB A4D7:SetPosFromHike(18 0C)	 2pt	 D8-MoveAbsolute(20 F8)		 D8-MoveAbsolute(20 08)	 F4-Pause(8C)	 D8-MoveAbsolute(20 28)	 D8-MoveAbsolute(14 3C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																					
RCB BC9E:SetPosFromMid(36 28)	 2pt	 JumpTo B388:F4-Pause(14)		 D8-MoveAbsolute(B8 F8)	 F5-Pause(64 96)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LCB B7B7:SetPosFromMid(C0 28)	 2pt	 26-JumpTo BDFC:04-m2m-WR2		 LoopBack FE// JumpTo B765:F4-Pause(3C)	 D8-MoveAbsolute(38 00)	 D8-MoveAbsolute(28 18)	 F5-Pause(46 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
FS BB6B:SetPosFromHike(C8 50)	 2pt	 26-JumpTo BCBA:C8-Move(C1 BC 04)		 JumpTo B39B:F4-Pause(14)	 D8-MoveAbsolute(C8 F0)	 F5-Pause(64 96)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(B0 C8)	 F4-Pause(C8)	 D8-MoveAbsolute(B0 81)	 JumpTo BDF0:01-m2m-HB	 LoopBack FE// 																		
SS BCC7:SetPosFromHike(18 50)	 2pt	 JumpTo B802:27-JumpTo B810:D8-MoveAbsolute(E8 98)		 JumpTo B60C:27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 F5-Pause(01 8C)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// F4-Pause(14)	 D8-MoveAbsolute(D8 E8)	 F5-Pause(64 96)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																		
																															
																															
Defense: 1E																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB BB5D:SetPosFromHike(E0 18)	 2pt	 C8-Move(61 B9 06)		 D8-MoveAbsolute(C8 D0)	 JumpTo BDEC:F4-Pause(00)	 LoopBack FE// 																									
LILB A4BE:SetPosFromHike(00 18)	 2pt	 F3-Pause(0A)		 D8-MoveAbsolute(F8 D8)	 F4-Pause(14)	 D8-MoveAbsolute(10 F8)	 F4-Pause(28)	 D8-MoveAbsolute(10 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																			
LOLB A4D7:SetPosFromHike(18 0C)	 2pt	 D8-MoveAbsolute(20 F8)		 D8-MoveAbsolute(20 08)	 F4-Pause(8C)	 D8-MoveAbsolute(20 28)	 D8-MoveAbsolute(14 3C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																					
RCB BC9E:SetPosFromMid(36 28)	 2pt	 JumpTo B388:F4-Pause(14)		 D8-MoveAbsolute(B8 F8)	 F5-Pause(64 96)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LCB B7B7:SetPosFromMid(C0 28)	 2pt	 26-JumpTo BDFC:04-m2m-WR2		 LoopBack FE// JumpTo B765:F4-Pause(3C)	 D8-MoveAbsolute(38 00)	 D8-MoveAbsolute(28 18)	 F5-Pause(46 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																					
FS BB6B:SetPosFromHike(C8 50)	 2pt	 26-JumpTo BCBA:C8-Move(C1 BC 04)		 JumpTo B39B:F4-Pause(14)	 D8-MoveAbsolute(C8 F0)	 F5-Pause(64 96)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(B0 C8)	 F4-Pause(C8)	 D8-MoveAbsolute(B0 81)	 JumpTo BDF0:01-m2m-HB	 LoopBack FE// 																		
SS BB7D:SetPosFromHike(18 50)	 2pt	 29-JumpTo BE10:14-m2m-WR2		 LoopBack EA	 04-m2m-WR2	 LoopBack FE// 27-JumpTo BCCB:JumpTo B802:27-JumpTo B810:D8-MoveAbsolute(E8 98)	 JumpTo B60C:27-JumpTo BDEC:F4-Pause(00)	 LoopBack FE// F4-Pause(14)	 F5-Pause(01 8C)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// F4-Pause(14)	 D8-MoveAbsolute(D8 E8)	 F5-Pause(64 96)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(E8 98)	 D8-MoveAbsolute(B8 A0)	 JumpTo BE04:11-m2m-HB	 LoopBack EA	 01-m2m-HB	 LoopBack FE// 										
																															
																															
Defense: 1F																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB BC93:SetPosFromHike(E0 18)	 2pt	 C8-Move(E6 B9 06)		 JumpTo AFDF:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LILB BCEF:SetPosFromHike(00 18)	 2pt	 C8-Move(FA BC 07)		 JumpTo B61F:D8-MoveAbsolute(10 08)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LOLB BF20:SetPosFromHike(18 0C)	 2pt	 C8-Move(7C B9 0C)		 LoopBack EC	 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																					
RCB BCCE:SetPosFromMid(36 28)	 2pt	 C8-Move(4B B9 02)		 JumpTo B001:MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
LCB BCD9:SetPosFromMid(C0 28)	 2pt	 C8-Move(61 B9 03)		 JumpTo B5E3:D8-MoveAbsolute(10 E8)	 D8-MoveAbsolute(00 08)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
FS BCE4:SetPosFromHike(C8 50)	 2pt	 C8-Move(56 B9 04)		 JumpTo B5F7:D8-MoveAbsolute(B8 C0)	 F4-Pause(C8)	 F4-Pause(64)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																							
SS B18E:SetPosFromHike(18 50)	 2pt	 C8-Move(8E B9 05)		 27-JumpTo B1A4:D8-MoveAbsolute(F8 E0)	 F4-Pause(78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(30 88)	 F4-Pause(14)	 F5-Pause(5A B4)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																			
																															
																															
Defense: 20																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB BC93:SetPosFromHike(E0 18)	 2pt	 C8-Move(E6 B9 06)		 JumpTo AFDF:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LILB BCEF:SetPosFromHike(00 18)	 2pt	 C8-Move(FA BC 07)		 JumpTo B61F:D8-MoveAbsolute(10 08)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LOLB BF20:SetPosFromHike(18 0C)	 2pt	 C8-Move(7C B9 0C)		 LoopBack EC	 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																					
RCB BB90:SetPosFromMid(36 28)	 2pt	 29-JumpTo BE36:2E-JumpTo BDF8:03-m2m-WR1		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDF8:03-m2m-WR1	 LoopBack FE// 29-JumpTo BB9D:2A-JumpTo BDFC:04-m2m-WR2	 LoopBack FE// F4-Pause(14)	 D8-MoveAbsolute(C8 D8)	 D8-MoveAbsolute(D8 B8)	 D8-MoveAbsolute(E8 A8)	 D8-MoveAbsolute(F8 A0)	 JumpTo BDFC:04-m2m-WR2	 LoopBack FE// JumpTo BCD2:C8-Move(4B B9 02)	 JumpTo B001:MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 											
LCB BBB1:SetPosFromMid(C0 28)	 2pt	 29-JumpTo BDF0:01-m2m-HB		 LoopBack FE// 27-JumpTo BE00:05-m2m-TE	 LoopBack FE// JumpTo BDF4:02-m2m-FB	 LoopBack FE// 																									
FS BCE4:SetPosFromHike(C8 50)	 2pt	 C8-Move(56 B9 04)		 JumpTo B5F7:D8-MoveAbsolute(B8 C0)	 F4-Pause(C8)	 F4-Pause(64)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																							
SS B18E:SetPosFromHike(18 50)	 2pt	 C8-Move(8E B9 05)		 27-JumpTo B1A4:D8-MoveAbsolute(F8 E0)	 F4-Pause(78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// D8-MoveAbsolute(30 88)	 F4-Pause(14)	 F5-Pause(5A B4)	 JumpTo BE18:MoveRelative(00 C0)	 LoopBack FD// 																			
																															
																															
Defense: 21																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
ROLB BEDF:SetPosFromHike(C8 10)	 2pt	 LoopForward 0A		 D8-MoveAbsolute(C4 00)	 D8-MoveAbsolute(C4 14)	 D8-MoveAbsolute(D4 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
RILB BC93:SetPosFromHike(E0 18)	 2pt	 C8-Move(E6 B9 06)		 JumpTo AFDF:MoveRelative(00 20)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LILB BCEF:SetPosFromHike(00 18)	 2pt	 C8-Move(FA BC 07)		 JumpTo B61F:D8-MoveAbsolute(10 08)	 F5-Pause(5A C8)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																							
LOLB BBBE:SetPosFromHike(18 0C)	 2pt	 27-JumpTo BF24:C8-Move(7C B9 0C)		 LoopBack EC	 D8-MoveAbsolute(1C 08)	 D8-MoveAbsolute(1C 18)	 D8-MoveAbsolute(0C 2C)	Grapple ALL	 DA-PassRush	 LoopBack FC// JumpTo BE08:12-m2m-FB	 LoopBack EA	 02-m2m-FB	 LoopBack FE// 																		
RCB BB90:SetPosFromMid(36 28)	 2pt	 29-JumpTo BE36:2E-JumpTo BDF8:03-m2m-WR1		 LoopBack FE// F4-Pause(1E)	 MoveRelative(00 81)	 JumpTo BDF8:03-m2m-WR1	 LoopBack FE// 29-JumpTo BB9D:2A-JumpTo BDFC:04-m2m-WR2	 LoopBack FE// F4-Pause(14)	 D8-MoveAbsolute(C8 D8)	 D8-MoveAbsolute(D8 B8)	 D8-MoveAbsolute(E8 A8)	 D8-MoveAbsolute(F8 A0)	 JumpTo BDFC:04-m2m-WR2	 LoopBack FE// JumpTo BCD2:C8-Move(4B B9 02)	 JumpTo B001:MoveRelative(00 50)	 F4-Pause(14)	 F5-Pause(3C 78)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 											
LCB BBB1:SetPosFromMid(C0 28)	 2pt	 29-JumpTo BDF0:01-m2m-HB		 LoopBack FE// 27-JumpTo BE00:05-m2m-TE	 LoopBack FE// JumpTo BDF4:02-m2m-FB	 LoopBack FE// 																									
FS BBC8:SetPosFromHike(C8 50)	 2pt	 27-JumpTo BE78:D9-MoveAbsolute(36 B0)		 2E-JumpTo BE83:JumpTo BE0C:13-m2m-WR1	 LoopBack EA	 03-m2m-WR1	 LoopBack FE// F4-Pause(32)	 MoveRelative(00 81)	 JumpTo BE0C:13-m2m-WR1	 LoopBack EA	 03-m2m-WR1	 LoopBack FE// D9-MoveAbsolute(80 A0)	 JumpTo BE10:14-m2m-WR2	 LoopBack EA	 04-m2m-WR2	 LoopBack FE// 															
SS BBD5:SetPosFromHike(18 50)	 2pt	 27-JumpTo BE14:15-m2m-TE		 LoopBack EA	 05-m2m-TE	 LoopBack FE// D9-MoveAbsolute(C0 B0)	 JumpTo BE04:11-m2m-HB	 LoopBack EA	 01-m2m-HB	 LoopBack FE// 																					
																															
																															
Defense: 22																															
																															
RE A704:SetPosFromHike(D8 08)	 3pt	 Boost-RS(0F)		 E3(30)	 F7(30)	 D8-MoveAbsolute(D8 08)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
NT A714:SetPosFromHike(F0 08)	 3pt	 Boost-RS(0F)		 E3(30)	 F7(20)	 F3-Pause(28)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
LE A723:SetPosFromHike(08 08)	 3pt	 Boost-RS(0F)		 E3(30)	 F7(30)	 D8-MoveAbsolute(08 08)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
ROLB A733:SetPosFromHike(C8 10)	 2pt	 Boost-RS(0F)		 E3(30)	 F7(30)	 D8-MoveAbsolute(C4 08)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
RILB BBE2:SetPosFromHike(E0 18)	 2pt	 E2(16)		 E3(16)	 D9-MoveAbsolute(68 B8)	 JumpTo BDFC:04-m2m-WR2	 LoopBack FE// 																								
LILB A753:SetPosFromHike(00 18)	 2pt	 Boost-RS(0F)		 E3(30)	 F7(30)	 D8-MoveAbsolute(FC 00)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																						
LOLB A763:SetPosFromHike(18 0C)	 2pt	 Boost-RS(0F)		 E3(30)	 F7(30)	 D8-MoveAbsolute(20 08)	 JumpTo AABC:FC(FF E0)	 DD-PassRush	 LoopBack FC// 																						
RCB B5AB:SetPosFromMid(36 28)	 2pt	 JumpTo BE18:MoveRelative(00 C0)		 LoopBack FD// 																											
LCB B5B2:SetPosFromMid(C0 28)	 2pt	 JumpTo BE18:MoveRelative(00 C0)		 LoopBack FD// 																											
FS B5B9:SetPosFromHike(C8 50)	 2pt	 JumpTo BE18:MoveRelative(00 C0)		 LoopBack FD// 																											
SS B5C0:SetPosFromHike(18 50)	 2pt	 JumpTo BE18:MoveRelative(00 C0)		 LoopBack FD// 																											
																															
																															
Defense: 23																															
																															
RE BEBB:SetPosFromHike(D8 08)	 3pt	 D8-MoveAbsolute(D8 08)		 D8-MoveAbsolute(E0 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
NT BEC8:SetPosFromHike(F0 08)	 3pt	 D8-MoveAbsolute(F0 14)		Grapple ALL	 DA-PassRush	 LoopBack FC// 																									
LE BED2:SetPosFromHike(08 08)	 3pt	 D8-MoveAbsolute(08 08)		 D8-MoveAbsolute(00 1C)	Grapple ALL	 DA-PassRush	 LoopBack FC// 																								
